N,P,K,temperature,humidity,ph,rainfall
99.12346,6.3844843,-10.641486,24.551754,89.383286,5.1948967,198.73024
99.82156,5.4809084,-11.362739,26.423271,89.82789,5.1565967,199.69661
99.22879,4.827013,-12.062162,26.034298,89.47757,5.2379937,199.02835
98.93353,5.513146,-13.116381,24.965431,89.296814,5.262185,198.48158
99.55334,7.5110464,-10.605765,25.751112,89.687836,5.259169,199.32724
99.83948,3.9714806,-9.043271,26.769947,89.8581,5.352213,199.75935
99.50427,5.4157624,-7.5339355,25.551157,89.63596,5.227426,199.0885
99.874146,7.1992846,-7.589899,27.164675,89.90178,5.216402,199.69756
98.800674,6.154453,-5.99674,24.09528,89.09137,5.310827,197.76889
99.42058,5.6378717,-11.279486,25.490702,89.59581,5.219995,199.10857
99.28015,3.6041868,-8.061413,25.439945,89.32817,5.266286,198.86665
98.43693,7.3417397,-11.185,25.14817,88.896484,5.340298,197.25703
98.96464,2.1414106,-5.376815,24.430975,89.272446,5.2153525,198.19391
97.80749,4.444594,-6.3254447,24.505125,88.28903,5.313228,196.84291
99.80835,6.6582003,-7.7909718,26.223381,89.84685,5.253046,199.57822
99.39099,5.8534374,-5.8478045,25.137112,89.43681,5.3703246,199.02461
99.16371,6.2443223,-9.400069,25.2443,89.35553,5.2445903,198.53398
98.76807,4.765378,-6.0720053,25.026459,89.02826,5.323088,198.31017
98.556725,5.76585,-11.287556,25.198738,89.108536,5.276913,198.10846
99.567535,4.1546493,-13.206395,26.01611,89.726234,5.1438313,199.4812
99.06709,6.73895,-11.023188,25.326147,89.35611,5.2900968,198.39197
98.72172,5.7112327,-11.075022,24.508224,89.19812,5.317591,198.32878
97.77456,5.204049,-6.4565196,24.162758,88.44211,5.271311,196.17592
99.62492,0.7756778,-8.839759,26.029377,89.71077,5.1845837,199.38506
99.426926,7.5185127,-9.276937,25.14189,89.56576,5.2633862,198.85905
98.685745,3.7894037,-10.983555,25.63156,89.17673,5.2956524,198.64494
99.28043,6.7762694,-11.250496,24.476933,89.38652,5.3668666,198.6791
99.58236,8.689829,-13.244632,26.133324,89.67014,5.2667575,199.23146
99.420044,3.5746834,-9.245262,25.207207,89.581375,5.2092767,199.15019
99.46664,4.9919176,-9.72146,25.422974,89.51979,5.2482405,199.09808
99.880196,2.4409823,-9.013879,26.63647,89.91385,5.1793833,199.71765
99.85532,3.7693648,-6.6228666,27.604813,89.903534,5.344273,199.66939
99.59507,4.514132,-15.172606,26.265213,89.77048,5.325841,199.34187
97.55537,3.8985956,-7.7242723,24.461086,88.230255,5.3541493,196.48982
98.93535,4.592848,-5.763654,24.527664,89.15927,5.251307,198.0048
99.657166,5.0347266,-10.7217655,26.211777,89.73651,5.244087,199.43576
99.583206,3.2925143,-9.4366,25.533726,89.64611,5.186049,199.23474
99.289825,4.4733305,-13.189523,25.23355,89.44507,5.329299,198.80309
99.95116,-0.28666028,-13.718033,26.720127,89.95862,5.190504,199.87502
99.810616,5.397527,-14.230145,26.932257,89.85531,5.2154694,199.63205
98.46098,4.028468,-7.0518494,24.434353,88.85276,5.250315,197.39703
99.788315,2.226758,-11.857648,25.539211,89.8355,5.1455398,199.64786
99.88913,6.7441797,-10.190526,26.500023,89.92612,5.064919,199.84538
99.35879,4.797822,-12.48786,25.413185,89.55574,5.2715006,199.05798
99.524704,0.056524567,-7.6678343,25.326664,89.57089,5.218328,199.18123
99.49053,4.3887362,-12.348833,25.247974,89.606415,5.206606,199.15729
99.62706,1.1336585,-6.8871813,25.569477,89.706116,5.193112,199.47719
99.38384,6.58565,-9.841349,25.873573,89.53772,5.3924527,198.89069
98.93364,7.543923,-12.219777,24.755466,89.18855,5.2377477,198.26828
99.679825,3.1389277,-10.771626,25.188063,89.76793,5.329266,199.45114
99.64879,4.6568575,-11.303713,26.315163,89.702225,5.250118,199.41066
99.61125,6.3759217,-10.933809,25.022808,89.73061,5.294531,199.35313
98.504295,6.8932385,-8.356153,24.626392,88.78999,5.3644104,197.52452
99.62678,7.801696,-12.704773,25.404495,89.720505,5.307242,199.41714
99.75313,7.686902,-14.530325,26.465065,89.82382,5.295241,199.59407
98.658844,7.3121123,-6.160145,24.339453,88.996635,5.3280253,197.47702
99.6732,2.689333,-10.761324,26.050274,89.72281,5.2775497,199.3999
98.99147,7.6583505,-11.367014,24.441933,89.26016,5.361472,198.42955
99.34752,4.1518693,-7.850721,24.692066,89.53844,5.259076,198.93613
99.846176,5.1507344,-11.065186,26.594027,89.88779,5.211574,199.74399
99.751564,3.0757036,-12.010397,25.93423,89.83052,5.140784,199.64954
98.738266,4.58108,-7.75014,24.895231,89.193565,5.3073463,197.8171
99.27109,7.239175,-7.4804177,24.708584,89.47534,5.1875935,198.77354
98.848465,5.696624,-8.158154,24.358377,89.14427,5.2764373,197.85184
99.11721,2.2738976,-10.447927,25.019651,89.3995,5.2248197,198.79492
99.8133,2.8693085,-8.704092,26.55353,89.83844,5.1893244,199.69717
99.88348,5.5985484,-10.48499,26.246471,89.90116,5.1528516,199.74167
99.3668,3.851933,-8.321972,26.256924,89.59047,5.3447604,198.79413
99.88013,4.5453606,-13.059731,26.487576,89.922,5.0685787,199.83879
99.434845,5.391314,-14.285153,26.084423,89.56511,5.3476143,199.07738
99.79511,2.3262966,-12.348994,25.60675,89.81989,5.1498632,199.57323
99.55013,4.1302238,-9.842088,25.94927,89.65254,5.217346,199.33508
98.24959,4.229603,-8.675349,24.88711,88.75154,5.2910843,197.51018
